Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
220999755,The Dance and the Fire,Daniel Saldaña París,"París, Daniel Saldaña",,"=""1646222458""","=""9781646222452""",0,3.68,Catapult,Hardcover,256,2025,2021,,2025/07/07,to-read,to-read (#1128),to-read,,,,0,0
939870,The Magus,John Fowles,"Fowles, John",,"=""""","=""""",5,4.05,Laurel-Leaf Books,Mass Market Paperback,668,1985,1965,2014/07/30,2019/04/10,"2014, currently-reading","2014 (#35), currently-reading (#1)",currently-reading,,,,2,0
35852435,Becoming Supernatural: How Common People are Doing the Uncommon,Joe Dispenza,"Dispenza, Joe",,"=""1401953107""","=""9781401953102""",0,4.26,Hay House LLC,Kindle Edition,375,2017,2017,,2025/07/05,to-read,to-read (#1127),to-read,,,,0,0
233800039,"The Devils (The Devils, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""125088005X""","=""9781250880055""",3,4.32,Tor Books,Hardcover,560,2025,2025,2025/07/04,2025/02/19,2025,2025 (#25),read,,,,1,0
48982796,The Posthumous Memoirs of Brás Cubas,Machado de Assis,"Assis, Machado de","Flora Thomson-DeVeaux, Dave Eggers","=""""","=""""",4,4.26,Penguin Classics,Paperback,368,2020,1881,2025/06/14,2025/04/21,2025,2025 (#24),read,,,,1,0
227863236,Glyph (Gliff #2),Ali Smith,"Smith, Ali",,"=""0241665590""","=""9780241665596""",0,4.25,Hamish Hamilton,Hardcover,,2026,2026,,2025/04/18,to-read,to-read (#1106),to-read,,,,0,0
44669797,How to Mend: Motherhood and Its Ghosts,Iman Mersal,"Mersal, Iman",,"=""3956794257""","=""9783956794254""",0,4.41,Sternberg Pr,Paperback,166,2019,,,2025/06/06,to-read,to-read (#1126),to-read,,,,0,0
35187179,The Conference of the Birds,Attar of Nishapur,"Nishapur, Attar of",Sholeh Wolpé,"=""0393355543""","=""9780393355543""",0,4.23,W. W. Norton & Company,Paperback,384,2018,1177,,2025/06/06,to-read,to-read (#1125),to-read,,,,0,0
181110045,The Briar Club,Kate Quinn,"Quinn, Kate",,"=""0063244748""","=""9780063244740""",0,4.30,William Morrow,Hardcover,432,2024,2024,,2025/06/06,to-read,to-read (#1124),to-read,,,,0,0
39689572,Unlanguage,Michael Cisco,"Cisco, Michael",,"=""1621052664""","=""9781621052661""",0,4.49,Eraserhead Press,Paperback,278,2018,2018,,2025/06/01,to-read,to-read (#1123),to-read,,,,0,0
24733341,Suite for Barbara Loden,Nathalie Léger,"Léger, Nathalie","Natasha Lehrer, Cécile Menon","=""0993009301""","=""9780993009303""",4,4.12,Les Fugitives,Paperback,121,2015,2012,2025/05/30,2025/03/11,2025,2025 (#22),read,,,,1,0
